No,ID Stasiun,Waktu,PM 10,PM 2.5,SO2,CO,O3,NO2,BULAN
1,CILEGON_PCI,2022-04-12,0,0,221,26,255,103,APRIL
2,CILEGON_PCI,2022-04-11,0,0,224,23,254,103,APRIL
3,CILEGON_PCI,2022-04-10,0,0,234,19,247,103,APRIL
4,CILEGON_PCI,2022-04-09,0,0,0,0,0,0,APRIL
5,CILEGON_PCI,2022-04-08,0,0,238,25,252,105,APRIL
6,CILEGON_PCI,2022-04-07,0,0,223,22,260,106,APRIL
7,CILEGON_PCI,2022-04-06,0,0,218,20,258,95,APRIL
8,CILEGON_PCI,2022-04-05,0,0,0,0,0,0,APRIL
9,CILEGON_PCI,2022-04-04,0,0,0,0,0,0,APRIL
10,CILEGON_PCI,2022-04-03,0,0,217,21,249,63,APRIL
11,CILEGON_PCI,2022-04-02,0,0,218,23,256,57,APRIL
12,CILEGON_PCI,2022-04-01,0,0,218,25,261,45,APRIL
13,CILEGON_PCI,2022-03-31,0,0,218,25,279,38,MARET
14,CILEGON_PCI,2022-03-30,0,0,212,23,291,34,MARET
15,CILEGON_PCI,2022-03-29,0,0,0,0,0,0,MARET
16,CILEGON_PCI,2022-03-28,0,0,0,0,0,0,MARET
17,CILEGON_PCI,2022-03-27,0,0,0,0,0,0,MARET
18,CILEGON_PCI,2022-03-26,0,0,0,0,0,0,MARET
19,CILEGON_PCI,2022-03-25,54,0,214,24,237,78,MARET
20,CILEGON_PCI,2022-03-24,20,0,216,24,238,75,MARET
21,CILEGON_PCI,2022-03-23,24,0,218,23,239,76,MARET
22,CILEGON_PCI,2022-03-22,13,0,217,22,236,76,MARET
23,CILEGON_PCI,2022-03-21,10,0,216,22,234,73,MARET
24,CILEGON_PCI,2022-03-20,12,0,217,22,237,66,MARET
25,CILEGON_PCI,2022-03-19,16,0,217,24,235,66,MARET
26,CILEGON_PCI,2022-03-18,36,0,217,25,233,66,MARET
27,CILEGON_PCI,2022-03-17,39,0,215,26,233,66,MARET
28,CILEGON_PCI,2022-03-16,19,40,215,28,233,65,MARET
29,CILEGON_PCI,2022-03-15,0,0,0,0,0,0,MARET
30,CILEGON_PCI,2022-03-14,0,0,0,0,0,0,MARET
31,CILEGON_PCI,2022-03-13,0,0,0,0,0,0,MARET
32,CILEGON_PCI,2022-03-12,17,35,220,18,207,88,MARET
33,CILEGON_PCI,2022-03-11,23,53,217,26,211,94,MARET
34,CILEGON_PCI,2022-03-10,33,62,219,27,207,102,MARET
35,CILEGON_PCI,2022-03-09,19,42,217,30,110,104,MARET
36,CILEGON_PCI,2022-03-08,0,0,0,0,0,0,MARET
37,CILEGON_PCI,2022-03-07,0,0,0,0,0,0,MARET
38,CILEGON_PCI,2022-03-06,0,0,0,0,0,0,MARET
39,CILEGON_PCI,2022-03-05,0,0,0,0,0,0,MARET
40,CILEGON_PCI,2022-03-04,13,35,212,28,126,74,MARET
41,CILEGON_PCI,2022-03-03,0,0,0,0,0,0,MARET
42,CILEGON_PCI,2022-03-02,0,0,0,0,0,0,MARET
43,CILEGON_PCI,2022-03-01,0,0,0,0,0,0,MARET
44,CILEGON_PCI,2022-02-28,0,0,0,0,0,0,FEBUARI
45,CILEGON_PCI,2022-02-27,0,0,0,0,0,0,FEBUARI
46,CILEGON_PCI,2022-02-26,0,0,0,0,0,0,FEBUARI
47,CILEGON_PCI,2022-02-25,0,0,0,0,0,0,FEBUARI
48,CILEGON_PCI,2022-02-24,0,0,0,0,0,0,FEBUARI
49,CILEGON_PCI,2022-02-23,0,0,0,0,0,0,FEBUARI
50,CILEGON_PCI,2022-02-22,0,0,0,0,0,0,FEBUARI
51,CILEGON_PCI,2022-02-21,0,0,0,0,0,0,FEBUARI
52,CILEGON_PCI,2022-02-20,0,0,0,0,0,0,FEBUARI
53,CILEGON_PCI,2022-02-19,0,0,0,0,0,0,FEBUARI
54,CILEGON_PCI,2022-02-10,8,35,216,21,214,67,FEBUARI
55,CILEGON_PCI,2022-02-09,30,77,217,24,212,70,FEBUARI
56,CILEGON_PCI,2022-02-08,20,63,215,24,210,68,FEBUARI
57,CILEGON_PCI,2022-02-07,12,51,216,23,211,73,FEBUARI
58,CILEGON_PCI,2022-02-06,13,38,216,22,212,73,FEBUARI
59,CILEGON_PCI,2022-02-05,17,52,215,22,210,72,FEBUARI
60,CILEGON_PCI,2022-02-04,25,61,212,23,204,74,FEBUARI
61,CILEGON_PCI,2022-02-03,31,68,213,23,196,73,FEBUARI
62,CILEGON_PCI,2022-02-02,34,72,216,23,197,73,FEBUARI
63,CILEGON_PCI,2022-02-01,34,72,215,24,194,73,FEBUARI
64,CILEGON_PCI,2022-01-31,36,74,216,25,192,72,JANUARI
65,CILEGON_PCI,2022-01-30,54,101,216,28,198,72,JANUARI
66,CILEGON_PCI,2022-01-29,33,71,216,25,196,71,JANUARI
67,CILEGON_PCI,2022-01-28,23,58,218,25,199,71,JANUARI
68,CILEGON_PCI,2022-01-27,25,61,219,25,203,71,JANUARI
69,CILEGON_PCI,2022-01-26,24,60,220,23,203,69,JANUARI
70,CILEGON_PCI,2022-01-25,17,51,219,24,187,79,JANUARI
71,CILEGON_PCI,2022-01-24,19,54,218,24,181,81,JANUARI
72,CILEGON_PCI,2022-01-23,18,53,217,24,175,84,JANUARI
73,CILEGON_PCI,2022-01-22,21,56,214,24,167,84,JANUARI
74,CILEGON_PCI,2022-01-21,17,53,214,23,140,103,JANUARI
75,CILEGON_PCI,2022-01-20,19,56,214,25,128,104,JANUARI
76,CILEGON_PCI,2022-01-19,18,54,216,25,116,106,JANUARI
77,CILEGON_PCI,2022-01-18,2,6,45,21,1,89,JANUARI
78,CILEGON_PCI,2022-01-17,0,0,3,22,0,84,JANUARI
79,CILEGON_PCI,2022-01-16,0,0,4,22,0,83,JANUARI
80,CILEGON_PCI,2022-01-15,0,0,1,20,0,80,JANUARI
81,CILEGON_PCI,2022-01-14,0,0,2,20,0,81,JANUARI
82,CILEGON_PCI,2022-01-13,0,0,5,20,0,80,JANUARI
83,CILEGON_PCI,2022-01-12,0,0,4,20,0,79,JANUARI
84,CILEGON_PCI,2022-01-11,0,0,9,20,0,78,JANUARI
85,CILEGON_PCI,2022-01-10,0,0,15,21,0,79,JANUARI
86,CILEGON_PCI,2022-01-09,0,0,12,21,0,79,JANUARI
87,CILEGON_PCI,2022-01-08,0,0,10,19,0,78,JANUARI
88,CILEGON_PCI,2022-01-07,0,0,19,16,0,80,JANUARI
89,CILEGON_PCI,2022-01-06,0,0,9,19,0,75,JANUARI
90,CILEGON_PCI,2022-01-05,0,0,11,16,0,78,JANUARI
91,CILEGON_PCI,2022-01-04,0,0,19,15,0,81,JANUARI
92,CILEGON_PCI,2022-01-03,0,0,17,15,0,83,JANUARI
93,CILEGON_PCI,2022-01-02,0,0,20,16,0,89,JANUARI
94,CILEGON_PCI,2022-01-01,0,0,24,16,0,87,JANUARI
95,CILEGON_PCI,2021-12-31,0,0,20,16,0,83,DESEMBER
96,CILEGON_PCI,2021-12-30,0,0,3,15,0,83,DESEMBER
97,CILEGON_PCI,2021-12-29,0,0,3,15,0,83,DESEMBER
98,CILEGON_PCI,2021-12-28,0,0,8,16,0,71,DESEMBER
99,CILEGON_PCI,2021-12-27,0,0,5,17,0,71,DESEMBER
100,CILEGON_PCI,2021-12-26,0,0,4,16,0,71,DESEMBER
101,CILEGON_PCI,2021-12-25,0,0,13,17,0,67,DESEMBER
102,CILEGON_PCI,2021-12-24,0,0,11,17,0,67,DESEMBER
103,CILEGON_PCI,2021-12-23,0,0,14,18,0,66,DESEMBER
104,CILEGON_PCI,2021-12-22,20,60,13,18,0,71,DESEMBER
105,CILEGON_PCI,2021-12-21,17,52,14,17,0,72,DESEMBER
106,CILEGON_PCI,2021-12-20,0,0,0,0,0,0,DESEMBER
107,CILEGON_PCI,2021-12-19,0,0,0,0,0,0,DESEMBER
108,CILEGON_PCI,2021-12-18,0,0,0,0,0,0,DESEMBER
109,CILEGON_PCI,2021-12-17,0,0,0,0,0,0,DESEMBER
110,CILEGON_PCI,2021-12-16,0,0,0,0,0,0,DESEMBER
111,CILEGON_PCI,2021-12-15,0,0,0,0,0,0,DESEMBER
112,CILEGON_PCI,2021-12-14,0,0,0,0,0,0,DESEMBER
113,CILEGON_PCI,2021-12-13,0,0,0,0,0,0,DESEMBER
114,CILEGON_PCI,2021-12-12,0,0,0,0,0,0,DESEMBER
115,CILEGON_PCI,2021-12-01,0,0,0,0,0,0,DESEMBER
116,CILEGON_PCI,2021-11-30,0,0,0,0,0,0,NOVEMBER
117,CILEGON_PCI,2021-11-29,0,0,0,0,0,0,NOVEMBER
118,CILEGON_PCI,2021-11-28,0,0,0,0,0,0,NOVEMBER
119,CILEGON_PCI,2021-11-27,0,0,0,0,0,0,NOVEMBER
120,CILEGON_PCI,2021-11-26,0,0,0,0,0,0,NOVEMBER
121,CILEGON_PCI,2021-11-25,0,0,0,0,0,0,NOVEMBER
