No,ID Stasiun,Waktu,PM 10,PM 2.5,SO2,CO,O3,NO2,VOC,Wind Speed,Wind Direction,Humidity,Temperature,Pressure,Solar Radiation,Rain Intensity
1,CILEGON_PCI,2022-09-09 14:30:00,14,15,21,0,59,0,0,0,228,61,28,1011.95,292,0
2,CILEGON_PCI,2022-09-09 14:00:00,16,19,19,0,62,0,0,0,225,64,27.2,1012.36,195,0
3,CILEGON_PCI,2022-09-09 13:30:00,15,18,21,0,65,0,0,0,247,57,28.9,1013.07,37,0
4,CILEGON_PCI,2022-09-09 13:00:00,15,19,17,0,74,14,0,0,171,54,31,1013.24,306,0
5,CILEGON_PCI,2022-09-09 12:30:00,14,18,15,0,80,19,0,0,60,55,30.7,1013.41,271,0
6,CILEGON_PCI,2022-09-09 12:00:00,23,28,17,0,84,21,0,0,93,54,30.8,1013.61,269,0
7,CILEGON_PCI,2022-09-09 11:30:00,33,40,17,0,91,22,0,0,126,57,30.5,1014.12,526,0
8,CILEGON_PCI,2022-09-09 11:00:00,22,27,28,0,79,12,0,0,113,52,31.1,1014.46,343,0
9,CILEGON_PCI,2022-09-09 10:30:00,31,37,40,0,71,13,0,0,189,53,30.9,1014.56,323,0
10,CILEGON_PCI,2022-09-09 10:00:00,37,44,50,0,81,13,0,0,230,56,30.4,1014.97,346,0
11,CILEGON_PCI,2022-09-09 09:30:00,36,43,61,0,97,6,0,0,213,58,29.5,1015.1,265,0
12,CILEGON_PCI,2022-09-09 09:00:00,46,54,40,0,104,0,0,0,201,62,28.7,1014.87,246,0
13,CILEGON_PCI,2022-09-09 08:30:00,38,46,32,0,110,0,0,0,229,66,27.7,1014.7,237,0
14,CILEGON_PCI,2022-09-09 08:00:00,30,37,29,0,102,0,0,0,222,68,26.6,1014.73,135,0
15,CILEGON_PCI,2022-09-09 07:30:00,31,39,23,0,68,0,0,0,222,71,25.8,1014.6,163,0
16,CILEGON_PCI,2022-09-09 07:00:00,36,44,32,0,52,0,0,0,220,73,24.7,1013.75,90,0
17,CILEGON_PCI,2022-09-09 06:30:00,27,32,36,0,19,0,0,0,238,73,24,1013.51,26,0
18,CILEGON_PCI,2022-09-09 06:00:00,31,37,36,0,10,0,0,0,238,73,23.8,1013.04,0,0
19,CILEGON_PCI,2022-09-09 05:30:00,28,33,47,0,92,0,0,0,238,73,23.8,1012.87,0,0
20,CILEGON_PCI,2022-09-09 05:00:00,33,39,31,0,106,0,0,0,238,73,23.9,1012.43,0,0
21,CILEGON_PCI,2022-09-09 04:30:00,26,31,23,0,96,0,0,0,237,73,24.1,1012.26,0,0
22,CILEGON_PCI,2022-09-09 04:00:00,32,38,21,0,59,0,0,0,238,73,24.2,1012.26,0,0
23,CILEGON_PCI,2022-09-09 03:30:00,38,46,19,0,55,0,0,0,238,73,24.2,1012.23,0,0
24,CILEGON_PCI,2022-09-09 03:00:00,29,35,30,0,37,0,0,0,237,73,24.4,1012.19,0,0
25,CILEGON_PCI,2022-09-09 02:30:00,41,47,35,0,0,0,0,0,238,73,24.6,1012.16,0,0
26,CILEGON_PCI,2022-09-09 02:00:00,40,47,41,0,51,0,0,0,241,73,24.6,1012.6,0,0
27,CILEGON_PCI,2022-09-09 01:30:00,42,48,50,0,106,0,0,0,241,73,24.8,1012.87,0,0
28,CILEGON_PCI,2022-09-09 01:00:00,51,59,20,0,112,0,0,0,241,72,24.9,1013.34,0,0
29,CILEGON_PCI,2022-09-09 00:30:00,48,57,12,0,117,0,0,0,241,72,25.1,1013.82,0,0
30,CILEGON_PCI,2022-09-09 00:00:00,50,58,9,0,63,0,0,0,241,72,25.2,1014.26,0,0
31,CILEGON_PCI,2022-09-08 23:30:00,48,58,7,0,69,0,0,0,241,72,25.2,1014.56,0,0
32,CILEGON_PCI,2022-09-08 23:00:00,37,45,18,0,38,0,0,0,241,72,25.2,1014.7,0,0.01
33,CILEGON_PCI,2022-09-08 22:30:00,32,38,25,0,0,0,0,0,241,71,25.3,1014.93,0,0.01
34,CILEGON_PCI,2022-09-08 22:00:00,30,37,38,0,63,0,0,0,241,71,25.4,1014.93,0,0.01
35,CILEGON_PCI,2022-09-08 21:30:00,34,40,46,0,93,0,0,0,241,71,25.6,1014.9,0,0.01
36,CILEGON_PCI,2022-09-08 21:00:00,29,34,13,0,104,0,0,0,247,71,25.7,1014.73,0,0.01
37,CILEGON_PCI,2022-09-08 21:00:00,29,34,13,0,104,0,0,0,247,71,25.7,1014.73,0,0.01
38,CILEGON_PCI,2022-09-08 20:30:00,34,39,5,0,112,0,0,0,154,71,25.9,1014.26,0,0.01
39,CILEGON_PCI,2022-09-08 20:00:00,38,43,5,0,85,0,0,0,146,70,26,1013.72,0,0.01
40,CILEGON_PCI,2022-09-08 19:30:00,28,34,5,0,43,0,0,0,146,70,26.1,1013.14,0,0.01
41,CILEGON_PCI,2022-09-08 19:00:00,19,24,22,0,26,0,0,0,138,69,26.1,1012.73,0,0.01
